t [s]	η [m]
119.125	-0.34500605
119.25	-0.4825846
119.375	-0.61076397
119.5	-0.7280889
119.625	-0.8337179
119.75	-0.9273825
119.875	-1.0093064
120.0	-1.0801558
120.125	-1.1408963
120.25	-1.192698
120.375	-1.2367998
120.5	-1.2743573
120.625	-1.3063
120.75	-1.3332187
120.875	-1.3552213
121.0	-1.3718767
121.125	-1.3822091
121.25	-1.3847107
121.375	-1.3774815
121.5	-1.3583928
121.625	-1.3253567
121.75	-1.2765323
121.875	-1.210671
122.0	-1.12734
122.125	-1.0271298
122.25	-0.91176295
122.375	-0.78415334
122.5	-0.6482675
122.625	-0.50896734
122.75	-0.37170225
122.875	-0.24219076
123.0	-0.12602113
123.125	-0.028314326
123.25	0.046592273
123.375	0.09539731
123.5	0.115984865
123.625	0.10750121
123.75	0.07033965
123.875	0.0060842154
124.0	-0.082585424
124.125	-0.19199026
124.25	-0.3175466
124.375	-0.4538239
124.5	-0.59458566
124.625	-0.73286605
124.75	-0.86101645
124.875	-0.97088605
125.0	-1.0540767
125.125	-1.102276
125.25	-1.1077932
125.375	-1.0641469
125.5	-0.9667094
125.625	-0.81338423
125.75	-0.6051441
125.875	-0.34640455
126.0	-0.04514252
126.125	0.28734228
126.25	0.63699454
126.375	0.987926
126.5	1.323633
126.625	1.6283265
126.75	1.8883826
126.875	2.0935953
127.0	2.2381754
127.125	2.3213055
127.25	2.3472073
127.375	2.3246026
127.5	2.265709
127.625	2.1847322
127.75	2.0962133
127.875	2.0131514
128.0	1.9453982
128.125	1.8983796
128.25	1.8723308
128.375	1.8622644
128.5	1.8584654
128.625	1.8477529
128.75	1.8151604
128.875	1.7458931
129.0	1.6273522
129.125	1.450894
129.25	1.2132114
129.375	0.91700673
129.5	0.5709942
129.625	0.18916294
129.75	-0.21061824
129.875	-0.6084467
130.0	-0.98446167
130.125	-1.3209072
130.25	-1.603873
130.375	-1.8245534
130.5	-1.9798524
130.625	-2.0722413
130.75	-2.1089833
130.875	-2.1007547
131.0	-2.0599804
131.125	-1.9990104
131.25	-1.9284898
131.375	-1.8560058
131.5	-1.7854018
131.625	-1.7166486
131.75	-1.6462526
131.875	-1.5683454
132.0	-1.4759835
132.125	-1.3626869
132.25	-1.2238221
132.375	-1.0577071
132.5	-0.86622536
132.625	-0.65491325
132.75	-0.43244463
132.875	-0.20964742
133.0	0.0018403761
133.125	0.19102666
133.25	0.3489852
133.375	0.46996695
133.5	0.552095
133.625	0.59751976
133.75	0.61204875
133.875	0.60424703
134.0	0.58424973
134.125	0.56234545
134.25	0.5476203
134.375	0.54680985
134.5	0.5634866
134.625	0.5977727
134.75	0.64647156
134.875	0.70367944
135.0	0.7617351
135.125	0.8123117
135.25	0.8475928
135.375	0.8612479
135.5	0.8491626
135.625	0.8098108
135.75	0.7442686
135.875	0.65585065
136.0	0.5495273
136.125	0.4311928
136.25	0.30690974
136.375	0.182272
136.5	0.061963692
136.625	-0.050455313
136.75	-0.15251967
136.875	-0.24264014
137.0	-0.31977707
137.125	-0.3830953
137.25	-0.43171096
137.375	-0.46456647
137.5	-0.4805344
137.625	-0.4786601
137.75	-0.45856392
137.875	-0.42089653
138.0	-0.36772937
138.125	-0.30279583
138.25	-0.23149158
138.375	-0.16058972
138.5	-0.09765755
138.625	-0.05025401
138.75	-0.024968956
138.875	-0.02647878
139.0	-0.056716215
139.125	-0.11434817
139.25	-0.19460286
139.375	-0.2895587
139.5	-0.38886088
139.625	-0.4807959
139.75	-0.55361915
139.875	-0.5969472
140.0	-0.60305566
140.125	-0.5678819
140.25	-0.4916311
140.375	-0.37886348
140.5	-0.23806114
140.625	-0.08072893
140.75	0.079868495
140.875	0.230166
141.0	0.3577602
141.125	0.4527074
141.25	0.50848705
141.375	0.52252954
141.5	0.49626714
141.625	0.434716
141.75	0.34568208
141.875	0.23872231
142.0	0.12399381
142.125	0.011187767
142.25	-0.091364846
142.375	-0.17727812
142.5	-0.24236447
142.625	-0.2845584
142.75	-0.30357832
142.875	-0.3004066
143.0	-0.27673075
143.125	-0.23442858
143.25	-0.17519864
143.375	-0.100416966
143.5	-0.011186924
143.625	0.0914132
143.75	0.20597251
143.875	0.33036363
144.0	0.46145034
144.125	0.59491444
144.25	0.72535884
144.375	0.8465815
144.5	0.9520978
144.625	1.0357921
144.75	1.0925885
144.875	1.1190919
145.0	1.1140245
145.125	1.0784608
145.25	1.0156934
145.375	0.93086845
145.5	0.8303616
145.625	0.7209572
145.75	0.6090284
145.875	0.49975967
146.0	0.39656457
146.125	0.30076304
146.25	0.21156776
146.375	0.12639315
146.5	0.041380603
146.625	-0.047882214
146.75	-0.14561418
146.875	-0.25514248
147.0	-0.3783868
147.125	-0.5155792
147.25	-0.6652487
147.375	-0.8244712
147.5	-0.9893031
147.625	-1.1553228
147.75	-1.318178
147.875	-1.4740454
148.0	-1.6198497
148.125	-1.7533194
148.25	-1.8727783
148.375	-1.976759
148.5	-2.0635114
148.625	-2.1305358
148.75	-2.1742043
148.875	-2.1896768
149.0	-2.1710095
149.125	-2.1116366
149.25	-2.0051813
149.375	-1.8463337
149.5	-1.6319103
149.625	-1.3617494
149.75	-1.0394242
149.875	-0.6725707
150.0	-0.27273825
150.125	0.14522
150.25	0.56420887
150.375	0.9663018
150.5	1.3343176
150.625	1.6534253
150.75	1.9125073
150.875	2.1051898
151.0	2.2303162
151.125	2.291862
151.25	2.2983031
151.375	2.2613955
151.5	2.194759
151.625	2.112121
151.75	2.0257828
151.875	1.9452206
152.0	1.8762001
152.125	1.8203725
152.25	1.7754519
152.375	1.7360065
152.5	1.694552
152.625	1.6430125
152.75	1.5741957
152.875	1.4831327
153.0	1.368078
153.125	1.231084
153.25	1.0779504
153.375	0.91771966
153.5	0.7616253
153.625	0.6217201
153.75	0.50931436
153.875	0.43346617
154.0	0.39964572
154.125	0.40881574
154.25	0.4569842
154.375	0.53532296
154.5	0.63082695
154.625	0.72743785
154.75	0.80752254
154.875	0.85351706
155.0	0.84958965
155.125	0.78311837
155.25	0.64586174
155.375	0.43469435
155.5	0.15184186
155.625	-0.19535163
155.75	-0.5951456
155.875	-1.0324357
156.0	-1.4900602
156.125	-1.9501932
156.25	-2.3956668
156.375	-2.811194
156.5	-3.1842268
156.625	-3.5055373
156.75	-3.7694578
156.875	-3.9736693
157.0	-4.118802
157.125	-4.207716
157.25	-4.2446914
157.375	-4.2346106
157.5	-4.182114
157.625	-4.09109
157.75	-3.9641538
157.875	-3.8026366
158.0	-3.606611
158.125	-3.375291
158.25	-3.107556
158.375	-2.8026018
158.5	-2.460552
158.625	-2.0830486
158.75	-1.6736616
158.875	-1.2380259
159.0	-0.7837828
159.125	-0.32025144
